CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	181102scr064	181102scr065	181102scr066	181102scr067	181102scr068	181102scr069	181102scr070	181102scr071	181102scr072	181102scr073	181102scr074	181102scr075	181102scr076	181102scr161	181102scr162	181102scr163	181102scr164	181102scr165	181102scr166	181102scr167	181102scr168	181102scr169	181102scr170	181102scr171	181102scr172	181102scr000	181102scr001
1	72.08145142	1.12358284																	590001672	262443094.7	433957841.8	202845527.3	305849526.6	252929484.9	297691719.2	204698871.2	590001672	262443094.7	433957841.8	202845527.3	305849526.6	252929484.9	297691719.2	204698871.2	590001672	262443094.7	590001672	262443094.7	433957841.8	202845527.3	305849526.6	252929484.9	297691719.2	433957841.8	202845527.3
4	57.03428268	0.913055956																	8063945.914	1675719.728	1660978.918	2564627.182	1888696.679	1745552.837	1729447.415	1834329.062	8063945.914	1675719.728	1660978.918	2564627.182	1888696.679	1745552.837	1729447.415	1834329.062	8063945.914	1675719.728	8063945.914	1675719.728	1660978.918	2564627.182	1888696.679	1745552.837	1729447.415	1660978.918	2564627.182
5	57.03433228	1.184019327																	8201495.155	1733647.581	1705501.411	2648483.412	1936957.368	1798627.961	1791346.402	1873188.278	8201495.155	1733647.581	1705501.411	2648483.412	1936957.368	1798627.961	1791346.402	1873188.278	8201495.155	1733647.581	8201495.155	1733647.581	1705501.411	2648483.412	1936957.368	1798627.961	1791346.402	1705501.411	2648483.412
8	204.1229706	1.264981151																	46935154.16	147267418.7	36128902.16	105598151.9	60162935.46	87285311.33	37848419.97	64083717.38	46935154.16	147267418.7	36128902.16	105598151.9	60162935.46	87285311.33	37848419.97	64083717.38	46935154.16	147267418.7	46935154.16	147267418.7	36128902.16	105598151.9	60162935.46	87285311.33	37848419.97	36128902.16	105598151.9
9	204.1229706	1.46067965																	61077487.87	172707187.6	41106221.87	120421132.5	69379134.55	101286441.2	45112466.18	75931877.17	61077487.87	172707187.6	41106221.87	120421132.5	69379134.55	101286441.2	45112466.18	75931877.17	61077487.87	172707187.6	61077487.87	172707187.6	41106221.87	120421132.5	69379134.55	101286441.2	45112466.18	41106221.87	120421132.5
10	60.05641556	0.786550641																	4607018.486	1997722.398	2107499.83	2546343.707	1948755.413	1873177.445	562496.6679	1881829.668	4607018.486	1997722.398	2107499.83	2546343.707	1948755.413	1873177.445	562496.6679	1881829.668	4607018.486	1997722.398	4607018.486	1997722.398	2107499.83	2546343.707	1948755.413	1873177.445	562496.6679	2107499.83	2546343.707
11	60.08158493	0.840531945																	57635314.1	32022197.72	43320942.55	43184129.58	51032934.97	54145470.83	29287083.16	42096356.53	57635314.1	32022197.72	43320942.55	43184129.58	51032934.97	54145470.83	29287083.16	42096356.53	57635314.1	32022197.72	57635314.1	32022197.72	43320942.55	43184129.58	51032934.97	54145470.83	29287083.16	43320942.55	43184129.58
12	60.0815773	1.444892287																	21964679.08	14068261.09	14477877.87	13194310.65	16942473.54	16507624.57	10238118.32	13451085.03	21964679.08	14068261.09	14477877.87	13194310.65	16942473.54	16507624.57	10238118.32	13451085.03	21964679.08	14068261.09	21964679.08	14068261.09	14477877.87	13194310.65	16942473.54	16507624.57	10238118.32	14477877.87	13194310.65
13	61.00816345	0.669769764																	2164653.678	5426006.056	2277676.507	1593073.888	4302922.188	3487321.563	5405900.088	2487702.979	2164653.678	5426006.056	2277676.507	1593073.888	4302922.188	3487321.563	5405900.088	2487702.979	2164653.678	5426006.056	2164653.678	5426006.056	2277676.507	1593073.888	4302922.188	3487321.563	5405900.088	2277676.507	1593073.888
14	61.01143265	1.267324686																	1832867.555	513943.4621	1167529.427	473693.2507	634402.5677	583966.3797	674319.8593	350378.9906	1832867.555	513943.4621	1167529.427	473693.2507	634402.5677	583966.3797	674319.8593	350378.9906	1832867.555	513943.4621	1832867.555	513943.4621	1167529.427	473693.2507	634402.5677	583966.3797	674319.8593	1167529.427	473693.2507
